system_type,test_case,input_text,expected_values,actual_values,accuracy,response_time,cpu_usage,memory_usage,test_category,has_errors
original,恢复命令,恢复录音测量值三十七点八度,[37.8],[37.8],1.0,0.0016400814056396484,4.0,45.9,basic,False
original,快速单数字,一,[1.0],[1.0],1.0,0.0,5.9,45.9,basic,False
original,快速单数字,二,[2.0],[2.0],1.0,0.0010123252868652344,7.8,45.9,basic,False
original,快速单数字,三,[3.0],[3.0],1.0,0.0009989738464355469,5.2,45.8,basic,False
original,快速单数字,四,[4.0],[4.0],1.0,0.0007302761077880859,2.1,45.8,basic,False
original,快速单数字,五,[5.0],[5.0],1.0,0.003180265426635742,6.2,45.8,basic,False
original,正常测量值1,温度二十五点五度,[25.5],[25.5],1.0,0.016748905181884766,8.0,45.9,tts_interference,False
original,TTS回响干扰,语音识别已开始,[],[],1.0,0.000993967056274414,12.0,45.8,tts_interference,False
original,TTS数值反馈干扰,成功提取数值二十五点五,[],[],1.0,0.0008070468902587891,2.4,45.9,tts_interference,False
original,TTS后正常输入,压力一百二十帕斯卡,[120.0],[120.0],1.0,0.0,7.2,45.9,tts_interference,False
original,TTS命令+数值混合,继续录音温度三十七度,[37.0],[37.0],1.0,0.0007879734039306641,1.3,45.9,tts_interference,False
original,正常输入前键盘干扰,测量值为二十五度,[25.0],[],0.0,0.0,0.0,45.9,keyboard_interference,False
original,输入中键盘干扰,温度三十点五度,[30.5],[30.5],1.0,0.0013573169708251953,2.9,45.9,keyboard_interference,False
original,输入后键盘干扰,压力一百帕斯卡,[100.0],[100.0],1.0,0.0009942054748535156,1.0,45.9,keyboard_interference,False
original,命令期间键盘干扰,暂停录音湿度四十五度,[45.0],[45.0],1.0,0.0,2.9,45.9,keyboard_interference,False
original,连续命令干扰,暂停录音暂停录音继续录音停止录音测量值为二十五度,[25.0],[],0.0,0.0,6.5,45.9,basic,False
original,命令包围数值,停止录音温度三十七度继续录音压力一百帕,"[37.0, 100.0]","[37.0, 100.0]",1.0,0.0009927749633789062,14.0,45.9,basic,False
original,命令冲突测试,恢复录音暂停录音恢复录音测量值四十二点五度,[42.5],[42.5],1.0,0.0044400691986083984,15.0,45.9,basic,False
original,中英文命令混合,exit stop 暂停 pause resume 温度二十八度,[28.0],[28.0],1.0,0.0006976127624511719,3.3,45.9,basic,False
original,自定义命令测试,测量开始温度三十三度测量结束暂停录音温度三十五度继续录音,"[33.0, 35.0]","[33.0, 35.0]",1.0,0.0006699562072753906,5.2,45.9,basic,False
original,TTS+键盘+命令三重干扰,温度二十五点五度,[25.5],[25.5],1.0,0.001004934310913086,2.0,45.9,tts_interference,False
original,高频连续干扰,压力一百二十帕斯卡,[120.0],[120.0],1.0,0.0,2.6,45.9,basic,False
original,系统边界压力测试,湿度百分之七十五,[75.0],[75.0],1.0,0.0016973018646240234,4.5,45.9,basic,False
original,Print命令中文,Print 当前状态正常,[],[],1.0,0.0010485649108886719,7.8,45.9,print_function,False
original,Print命令英文,Print system status is normal,[],[],1.0,0.0006544589996337891,5.9,45.9,print_function,False
original,Print命令包含数字,Print 温度二十五点五度,[],[],1.0,0.0003752708435058594,9.6,45.9,print_function,False
original,纯中文描述,当前状态正常,[],[],1.0,0.001001119613647461,7.5,45.9,print_function,False
original,纯英文描述,system is running normally,[],[],1.0,0.001971721649169922,3.7,45.9,print_function,False
original,设备状态描述,测量设备已连接,[],[],1.0,0.0030126571655273438,4.3,45.9,print_function,False
original,Print警告信息,Print 警告：设备异常,[],[],1.0,0.0,2.0,45.9,print_function,False
original,Print错误信息,Print ERROR: Connection failed,[],[],1.0,0.0,1.3,45.9,print_function,False
original,Print带时间戳,Print 时间戳 2024-01-01 10:30:00,[],[],1.0,0.0,6.2,45.9,print_function,False
original,Print复杂格式,Print 测量值：温度25.5°C，湿度65%,[],[],1.0,0.0010104179382324219,4.6,45.9,print_function,False
original,英文+中文数字,temperature 二十五度,[25.0],[25.0],1.0,0.0,2.2,45.9,basic,False
original,中文+英文+数字,温度 is 三十点五 degrees,[30.5],[30.5],1.0,0.003612995147705078,9.0,45.9,basic,False
original,Print命令中英混合,Print current temperature: 二十八点二°C,[],[],1.0,0.0010077953338623047,7.7,45.8,print_function,False
original,中英混合百分比,湿度 humidity 百分之六十五,[65.0],[65.0],1.0,0.0,15.0,45.8,basic,False
original,中英混合测量,测量值 measurement 一百二十点五 units,[120.5],[120.5],1.0,0.0030193328857421875,3.5,45.8,basic,False
new,基础测量值,测量值为十二点五,[12.5],[],0.0,0.0037658214569091797,7.1,45.9,basic,False
new,多值测量,测量值为十二点五和三十三点八,"[12.5, 33.8]",[],0.0,0.0018625259399414062,20.5,45.9,basic,False
new,单值测量,五十五点五,[55.5],[55.5],1.0,0.0007290840148925781,8.2,45.9,basic,False
new,暂停后测量1,七十七点七和九十九点九,"[77.7, 99.9]","[77.7, 99.9]",1.0,0.0019562244415283203,11.4,45.9,basic,False
new,暂停后测量2,一百一十一点一,[111.1],[111.1],1.0,0.0,9.0,45.9,basic,False
new,最终测量1,测量数据为一百二十三点四,[123.4],[123.4],1.0,0.0014865398406982422,3.1,45.9,basic,False
new,最终测量2,二百五十六点七八,[256.78],[256.78],1.0,0.00087738037109375,4.1,45.9,basic,False
new,空字符串测试,,[],[],1.0,0.0010063648223876953,6.6,45.9,basic,False
new,纯文本无数字,无数字文本,[],[],1.0,0.0005321502685546875,0.0,45.9,basic,False
new,极小小数,零点零零一,[0.001],[0.001],1.0,0.0007221698760986328,1.1,45.9,basic,False
new,负数测试,负十度,[-10.0],[-10.0],1.0,0.0030121803283691406,7.5,45.9,basic,False
new,负小数测试,温度负二十五点五度,[-25.5],[-25.5],1.0,0.006989717483520508,3.8,45.8,basic,False
new,大数多小数位,一千零二十三点四五六,[1023.456],[1023.456],1.0,0.0007789134979248047,5.9,45.9,basic,False
new,万位大数,二万三千四百五十六点七八九,[23456.789],[23456.789],1.0,0.0007727146148681641,5.2,45.9,basic,False
new,极小小数,测量值为零点零零一,[0.001],[],0.0,0.0014290809631347656,8.0,45.9,basic,False
new,纯零,零,[0.0],[0.0],1.0,0.000629425048828125,0.0,45.9,basic,False
new,百万级大数,一百万点一二三四五,[1000000.12345],[1000000.12345],1.0,0.0005033016204833984,4.4,45.9,basic,False
new,多个整数,一百二十和三百四十五,"[120.0, 345.0]","[120.0, 345.0]",1.0,0.007756948471069336,2.0,45.9,basic,False
new,多个小数,零点五和零点八,"[0.5, 0.8]","[0.5, 0.8]",1.0,0.00826406478881836,4.9,45.9,basic,False
new,多个负数,负一十和负二十点五,"[-10.0, -20.5]","[-10.0, -20.5]",1.0,0.0013556480407714844,2.4,45.9,basic,False
new,连续中文数字,一千二三百,"[1200.0, 300.0]","[1200.0, 300.0]",1.0,0.0,7.1,45.9,basic,False
new,中英混合,温度25.5度湿度36度,"[25.5, 36.0]","[25.5, 36.0]",1.0,0.0,3.8,45.9,basic,False
new,逗号分隔,数值为12，34，56.78,"[12.0, 34.0, 56.78]","[12.0, 34.0, 56.78]",1.0,0.003983497619628906,1.1,45.8,basic,False
new,非标准中文数字,测量值为一二三点四五度,[123.45],[],0.0,0.0027010440826416016,12.0,45.8,basic,False
new,模糊量词,温度大概二十五度左右,[25.0],[25.0],1.0,0.002348184585571289,6.7,45.8,basic,False
new,选择性数值,二十五或三十度,"[25.0, 30.0]","[25.0, 30.0]",1.0,0.0,4.2,45.8,basic,False
new,无效数值,数值为N/A,[],[],1.0,0.0015649795532226562,15.8,45.9,basic,False
new,不完整小数,测量值是二十五点,[25.0],[],0.0,0.0009975433349609375,13.6,45.9,basic,False
new,命令包围数值,暂停录音测量值为二十五点五度继续录音,[25.5],[],0.0,0.001394510269165039,10.3,45.9,basic,False
new,命令后数值,停止录音三十度,[30.0],[30.0],1.0,0.0,3.5,45.9,basic,False
new,数值后命令,二十五度暂停录音,[25.0],[25.0],1.0,0.0029904842376708984,8.4,45.9,basic,False
new,恢复命令,恢复录音测量值三十七点八度,[37.8],[37.8],1.0,0.0010051727294921875,25.5,45.9,basic,False
new,快速单数字,一,[1.0],[1.0],1.0,0.0015757083892822266,4.7,45.9,basic,False
new,快速单数字,二,[2.0],[2.0],1.0,0.0007715225219726562,7.4,45.9,basic,False
new,快速单数字,三,[3.0],[3.0],1.0,0.0012612342834472656,8.8,45.9,basic,False
new,快速单数字,四,[4.0],[4.0],1.0,0.00101470947265625,3.9,45.9,basic,False
new,快速单数字,五,[5.0],[5.0],1.0,0.0010006427764892578,2.2,45.9,basic,False
new,正常测量值1,温度二十五点五度,[25.5],[25.5],1.0,0.002015829086303711,5.3,45.9,tts_interference,False
new,TTS回响干扰,语音识别已开始,[],[],1.0,0.0031044483184814453,5.3,45.9,tts_interference,False
new,TTS数值反馈干扰,成功提取数值二十五点五,[],[],1.0,0.0,0.8,45.9,tts_interference,False
new,TTS后正常输入,压力一百二十帕斯卡,[120.0],[120.0],1.0,0.0005097389221191406,1.1,45.9,tts_interference,False
new,TTS命令+数值混合,继续录音温度三十七度,[37.0],[37.0],1.0,0.0019137859344482422,2.4,45.9,tts_interference,False
new,正常输入前键盘干扰,测量值为二十五度,[25.0],[],0.0,0.0010459423065185547,5.7,45.9,keyboard_interference,False
new,输入中键盘干扰,温度三十点五度,[30.5],[30.5],1.0,0.0034313201904296875,7.5,45.9,keyboard_interference,False
new,输入后键盘干扰,压力一百帕斯卡,[100.0],[100.0],1.0,0.0,4.9,45.9,keyboard_interference,False
new,命令期间键盘干扰,暂停录音湿度四十五度,[45.0],[45.0],1.0,0.0012011528015136719,8.5,45.9,keyboard_interference,False
new,连续命令干扰,暂停录音暂停录音继续录音停止录音测量值为二十五度,[25.0],[],0.0,0.0004918575286865234,10.8,45.9,basic,False
new,命令包围数值,停止录音温度三十七度继续录音压力一百帕,"[37.0, 100.0]","[37.0, 100.0]",1.0,0.0023920536041259766,11.0,46.0,basic,False
new,命令冲突测试,恢复录音暂停录音恢复录音测量值四十二点五度,[42.5],[42.5],1.0,0.0010042190551757812,5.5,46.0,basic,False
new,中英文命令混合,exit stop 暂停 pause resume 温度二十八度,[28.0],[28.0],1.0,0.0030214786529541016,13.5,46.4,basic,False
new,自定义命令测试,测量开始温度三十三度测量结束暂停录音温度三十五度继续录音,"[33.0, 35.0]","[33.0, 35.0]",1.0,0.0,5.9,46.4,basic,False
new,TTS+键盘+命令三重干扰,温度二十五点五度,[25.5],[25.5],1.0,0.0009999275207519531,19.2,46.6,tts_interference,False
new,高频连续干扰,压力一百二十帕斯卡,[120.0],[120.0],1.0,0.0012240409851074219,25.2,46.7,basic,False
new,系统边界压力测试,湿度百分之七十五,[75.0],[75.0],1.0,0.0009989738464355469,31.0,46.8,basic,False
new,Print命令中文,Print 当前状态正常,[],[],1.0,0.00771784782409668,23.1,47.0,print_function,False
new,Print命令英文,Print system status is normal,[],[],1.0,0.0,14.8,46.8,print_function,False
new,Print命令包含数字,Print 温度二十五点五度,[],[],1.0,0.0,1.2,46.8,print_function,False
new,纯中文描述,当前状态正常,[],[],1.0,0.0,3.6,46.8,print_function,False
new,纯英文描述,system is running normally,[],[],1.0,0.0005044937133789062,2.4,46.8,print_function,False
new,设备状态描述,测量设备已连接,[],[],1.0,0.004772186279296875,3.1,46.8,print_function,False
new,Print警告信息,Print 警告：设备异常,[],[],1.0,0.0,42.8,46.8,print_function,False
new,Print错误信息,Print ERROR: Connection failed,[],[],1.0,0.0011417865753173828,1.2,46.8,print_function,False
new,Print带时间戳,Print 时间戳 2024-01-01 10:30:00,[],[],1.0,0.0,2.9,46.9,print_function,False
new,Print复杂格式,Print 测量值：温度25.5°C，湿度65%,[],[],1.0,0.0,5.2,46.8,print_function,False
new,英文+中文数字,temperature 二十五度,[25.0],[25.0],1.0,0.0010004043579101562,3.3,46.8,basic,False
new,中文+英文+数字,温度 is 三十点五 degrees,[30.5],[30.5],1.0,0.0009894371032714844,9.2,46.8,basic,False
new,Print命令中英混合,Print current temperature: 二十八点二°C,[],[],1.0,0.0,9.7,46.9,print_function,False
new,中英混合百分比,湿度 humidity 百分之六十五,[65.0],[65.0],1.0,0.0,6.8,46.9,basic,False
new,中英混合测量,测量值 measurement 一百二十点五 units,[120.5],[120.5],1.0,0.0008752346038818359,7.8,46.9,basic,False
